1,0.03832375,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=1,
1,0.03832375,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=1,
4,0.0058335,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=2,
1,0.03832375,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=1,
4,0.0058335,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=2,
6,0.00560775,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=3,
1,0.03832375,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=1,
4,0.0058335,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=2,
6,0.00560775,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=3,
8,0.0056215,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=4,
1,0.03832375,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=1,
4,0.0058335,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=2,
6,0.00560775,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=3,
8,0.0056215,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=4,
10,0.0055675,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=5,
1,0.03832375,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=1,
4,0.0058335,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=2,
6,0.00560775,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=3,
8,0.0056215,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=4,
10,0.0055675,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=5,
12,0.00556575,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=6,
1,0.03832375,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=1,
4,0.0058335,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=2,
6,0.00560775,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=3,
8,0.0056215,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=4,
10,0.0055675,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=5,
12,0.00556575,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=6,
14,0.00557,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=7,
4,0.0058335,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=2,
6,0.00560775,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=3,
8,0.0056215,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=4,
10,0.0055675,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=5,
12,0.00556575,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=6,
14,0.00557,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=7,
16,0.0055365,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=8,
4,0.0058335,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=2,
6,0.00560775,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=3,
8,0.0056215,SELECT itemID FROM dataminingdb.itemsets5k WHERE transId=4,
